farmacia_id,descrizione_farmacia,gestione,indirizzo_full,cap,comune,coordinate,maps_url,stato_attivita,tipo_punto,provincia,localita_frazione,telefono,email,data_verifica,note_statiche,maps_url_coords,coord_quality,n_farmacie_provincia,n_farmacie_comune,idx_comune,coord_valid
ITVR016476,FARINOLA DOMENICO,privata,"Via Danzia, 3",37010,Affi,"45.55413643437546, 10.7844059980227",Farmacia Dott. Farinola Valentino e Domenico S.n.c.,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.552326%2C10.788243,ministero,284,1,1,TRUE
ITVR019224,Farmacia Dr. Max,privata,"Via Gennari, 28 - Coriano Veronese",37041,Albaredo D'Adige,"45.27841660359798, 11.285402076979741",Farmacia Dr. Max,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.275107%2C11.288508,ministero,284,2,1,TRUE
ITVR005335,Lafarmacia.Giusti S.r.l.,privata,"Piazza Vittorio Emanuele, 3",37041,Albaredo D'Adige,"45.317830067655116, 11.267653691911068",Lafarmacia. Giusti,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.317725%2C11.267213,ministero,284,2,2,TRUE
ITVR005383,Farmacia Segala Angiari,privata,"Largo Bussè, 890",37050,Angiari,"45.213812007647775, 11.283935370796371",Farmacia Segala Angiari,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.223036%2C11.268044,ministero,284,1,1,TRUE
ITVR017280,Farmacia Gazzolo,comunale,"Via Casalveghe, 10",37040,Arcole,"45.38448300777995, 11.312935400551133",Farmacia Gazzolo,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.318831%2C11.274181,ministero,284,2,1,TRUE
ITVR005313,Farmacia Zorzi,privata,"Via Padovana, 104",37040,Arcole,"45.36057613858584, 11.288949542793262",Farmacia Zorzi,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.371456%2C11.284936,ministero,284,2,2,TRUE
ITVR005321,Farmacia Infanti,privata,"Via Cesare Battisti, 13",37030,Badia Calavena,"45.56475042004846, 11.154981806121523",Farmacia Infanti,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.575595%2C11.155031,ministero,284,1,1,TRUE
ITVR005449,Farmacia Alla Madonna,privata,"Via CROCE, 35",37011,Bardolino,"45.54967163770443, 10.744525075470712",Farmacia Alla Madonna,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.540625%2C10.696174,ministero,284,2,1,TRUE
ITVR020254,Farmacia Sant'Anna,privata,"Via Verona, 63 - Calmasino",37011,Bardolino,"45.5226434414599, 10.755562066690366",Farmacia Sant'Anna,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.52268998762636%2C10.754975632148904,verified_share,284,2,2,TRUE
ITVR005318,Farmacia Erboristeria Nicoli Giovanni,privata,"Via Monti Lessini, 4",37050,Belfiore,"45.38312624942481, 11.207825003764967",Farmacia Erboristeria Nicoli Giovanni,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.378908%2C11.207266,ministero,284,1,1,TRUE
