comune,n_farmacie,n_private,n_comunali,n_share_url,n_chiuse_temporanee
Affi,1,1,0,0,0
Albaredo D'Adige,2,2,0,0,0
Angiari,1,1,0,0,0
Arcole,2,1,1,0,0
Badia Calavena,1,1,0,0,0
Bardolino,2,2,0,1,0
Belfiore,1,1,0,0,0
Bevilacqua,1,1,0,0,0
Bonavigo,1,1,0,0,0
Boschi Sant'Anna,1,1,0,0,0
Bosco Chiesanuova,1,1,0,0,0
Bovolone,5,4,1,2,0
Brentino Belluno,1,1,0,1,0
Brenzone,1,1,0,0,0
Bussolengo,5,5,0,0,0
Buttapietra,2,2,0,1,0
Caldiero,2,2,0,1,0
Caprino Veronese,3,3,0,0,0
Casaleone,1,1,0,0,0
Castagnaro,1,1,0,0,0
Castel D'Azzano,3,3,0,1,0
Castelnuovo Del Garda,4,4,0,1,0
Cavaion Veronese,2,2,0,1,0
Cazzano Di Tramigna,1,1,0,0,0
Cerea,5,5,0,1,0
Cerro Veronese,1,1,0,0,0
Cologna Veneta,3,3,0,0,0
Colognola Ai Colli,2,2,0,0,0
Concamarise,1,1,0,0,0
Costermano,1,1,0,0,0
Dolce',1,1,0,0,0
Erbe',1,1,0,0,0
Erbezzo,1,1,0,0,0
Fumane,1,1,0,0,0
Garda,1,1,0,0,0
Gazzo Veronese,2,2,0,0,0
Grezzana,3,3,0,1,0
Illasi,1,1,0,0,0
Isola Della Scala,3,3,0,0,0
Isola Rizza,1,1,0,0,0
Lavagno,2,2,0,0,0
Lazise,4,4,0,2,1
Legnago,7,7,0,0,0
Malcesine,1,1,0,0,0
Marano Di Valpolicella,1,1,0,0,0
Mezzane Di Sotto,1,1,0,0,0
Minerbe,1,1,0,0,0
Montecchia Di Crosara,1,1,0,0,0
Monteforte D'Alpone,2,2,0,0,0
Mozzecane,2,2,0,1,0
Negrar,6,6,0,1,0
Nogara,2,2,0,1,0
Nogarole Rocca,1,1,0,0,0
Oppeano,3,2,1,0,0
Palu',1,1,0,0,0
Pastrengo,1,1,0,0,0
Pescantina,3,3,0,0,0
Peschiera Del Garda,4,4,0,1,0
Povegliano Veronese,2,2,0,1,0
Pressana,1,1,0,0,0
Rivoli Veronese,1,1,0,0,0
Ronca',1,1,0,0,0
Ronco All'Adige,2,2,0,0,0
Roverchiara,1,1,0,0,0
Rovere' Veronese,1,1,0,0,0
Roveredo Di Gua',1,1,0,0,0
Salizzole,1,1,0,0,0
San Bonifacio,6,6,0,1,0
San Giovanni Ilarione,2,2,0,1,0
San Giovanni Lupatoto,7,7,0,2,0
San Martino Buon Albergo,4,4,0,1,0
San Mauro Di Saline,1,1,0,0,0
San Pietro Di Morubio,1,1,0,0,0
San Pietro In Cariano,4,3,1,1,0
San Zeno Di Montagna,1,1,0,0,0
Sanguinetto,1,1,0,0,0
Sant'Ambrogio Di Valpolicella,4,4,0,2,0
Sant'Anna D'Alfaedo,1,1,0,0,0
Selva Di Progno,1,1,0,0,0
Soave,2,2,0,0,0
Sommacampagna,4,3,1,1,0
Sona,6,3,3,2,0
Sorga',2,2,0,0,0
Terrazzo,1,1,0,0,0
Torri Del Benaco,1,1,0,0,0
Tregnago,1,1,0,0,0
Trevenzuolo,1,1,0,0,0
Valeggio Sul Mincio,4,4,0,1,0
Velo Veronese,1,1,0,0,0
Verona,78,64,14,9,0
Veronella,1,1,0,0,0
Vestenanova,1,1,0,0,0
Vigasio,3,2,1,1,0
Villa Bartolomea,2,2,0,0,0
Villafranca Di Verona,10,8,2,2,0
Zevio,4,4,0,1,0
Zimella,2,2,0,0,0
